plan_id,session_id,Rsnum,Rspos,Matnr,Werks,requester,purpose,planned_quantity,planned_use_date,status
PLAN-000410,SESS-000410,1000000425,0001,000000000030000171,4000,VZIREQ02,Breakdown replacement,3.000,2026-07-18,OPEN
PLAN-000411,SESS-000411,1000000427,0001,000000000030000172,1000,VZIREQ03,Capital project spare,3.000,2026-05-29,OPEN
PLAN-000412,SESS-000412,1000000428,0001,000000000030000173,2000,VZIREQ01,Statutory inspection rebuild,1.000,2025-11-16,CLOSED
PLAN-000413,SESS-000413,1000000429,0001,000000000030000174,4000,VZIREQ03,Planned shutdown replacement,1.000,2026-04-30,CLOSED
PLAN-000414,SESS-000414,1000000430,0001,000000000030000175,4000,VZIREQ03,Reliability improvement upgrade,4.000,2026-01-04,OPEN
PLAN-000415,SESS-000415,1000000431,0001,000000000030000175,4000,VZIREQ03,Reliability improvement upgrade,3.000,2026-05-02,OPEN
PLAN-000416,SESS-000416,1000000432,0001,000000000030000175,4000,VZIREQ05,Capital project spare,3.000,2026-03-06,OPEN
PLAN-000417,SESS-000417,1000000433,0001,000000000030000175,3000,VZIREQ02,Capital project spare,1.000,2025-11-29,CLOSED
PLAN-000418,SESS-000418,1000000435,0001,000000000030000175,3000,VZIREQ04,Planned shutdown replacement,2.000,2026-04-26,OPEN
PLAN-000419,SESS-000419,1000000436,0001,000000000030000176,4000,VZIREQ03,Capital project spare,2.000,2026-04-02,CLOSED
PLAN-000420,SESS-000420,1000000437,0001,000000000030000176,4000,VZIREQ03,Capital project spare,1.000,2026-01-04,CLOSED
PLAN-000421,SESS-000421,1000000438,0001,000000000030000177,1000,VZIREQ04,Capital project spare,4.000,2026-08-03,CLOSED
PLAN-000422,SESS-000422,1000000439,0001,000000000030000178,4000,VZIREQ04,Breakdown replacement,2.000,2026-06-23,CLOSED
PLAN-000423,SESS-000423,1000000440,0001,000000000030000178,4000,VZIREQ03,Statutory inspection rebuild,2.000,2026-02-22,CLOSED
PLAN-000424,SESS-000424,1000000441,0001,000000000030000178,3000,VZIREQ02,Capital project spare,3.000,2026-01-04,CLOSED
PLAN-000425,SESS-000425,1000000442,0001,000000000030000178,3000,VZIREQ02,Statutory inspection rebuild,1.000,2026-01-20,CLOSED
PLAN-000426,SESS-000426,1000000443,0001,000000000030000179,1000,VZIREQ05,Capital project spare,3.000,2025-12-04,CLOSED
PLAN-000427,SESS-000427,1000000444,0001,000000000030000179,1000,VZIREQ04,Capital project spare,4.000,2025-12-02,CLOSED
PLAN-000428,SESS-000428,1000000445,0001,000000000030000179,1000,VZIREQ01,Reliability improvement upgrade,1.000,2026-02-08,CLOSED
PLAN-000429,SESS-000429,1000000446,0001,000000000030000180,3000,VZIREQ03,Statutory inspection rebuild,3.000,2026-06-11,OPEN
PLAN-000430,SESS-000430,1000000447,0001,000000000030000180,3000,VZIREQ01,Statutory inspection rebuild,4.000,2025-12-11,OPEN
PLAN-000431,SESS-000431,1000000448,0001,000000000030000180,3000,VZIREQ03,Planned shutdown replacement,3.000,2026-04-05,OPEN
PLAN-000432,SESS-000432,1000000449,0001,000000000030000181,4000,VZIREQ03,Breakdown replacement,3.000,2026-09-12,CLOSED
PLAN-000433,SESS-000433,1000000450,0001,000000000030000181,4000,VZIREQ04,Reliability improvement upgrade,4.000,2025-11-14,CLOSED
PLAN-000434,SESS-000434,1000000451,0001,000000000030000181,4000,VZIREQ02,Condition monitoring intervention,2.000,2026-07-07,OPEN
PLAN-000435,SESS-000435,1000000452,0001,000000000030000182,3000,VZIREQ02,Reliability improvement upgrade,3.000,2026-07-23,OPEN
PLAN-000436,SESS-000436,1000000454,0001,000000000030000183,1000,VZIREQ04,Condition monitoring intervention,1.000,2026-02-26,CLOSED
PLAN-000437,SESS-000437,1000000455,0001,000000000030000183,1000,VZIREQ02,Planned shutdown replacement,2.000,2025-11-29,OPEN
PLAN-000438,SESS-000438,1000000456,0001,000000000030000184,2000,VZIREQ01,Statutory inspection rebuild,3.000,2026-06-23,OPEN
PLAN-000439,SESS-000439,1000000457,0001,000000000030000184,2000,VZIREQ03,Statutory inspection rebuild,1.000,2026-06-24,OPEN
PLAN-000440,SESS-000440,1000000458,0001,000000000030000184,2000,VZIREQ03,Reliability improvement upgrade,3.000,2026-03-22,CLOSED
PLAN-000441,SESS-000441,1000000459,0001,000000000030000185,3000,VZIREQ05,Condition monitoring intervention,1.000,2025-12-26,CLOSED
PLAN-000442,SESS-000442,1000000460,0001,000000000030000186,2000,VZIREQ04,Statutory inspection rebuild,3.000,2025-12-10,OPEN
PLAN-000443,SESS-000443,1000000461,0001,000000000030000187,3000,VZIREQ01,Statutory inspection rebuild,1.000,2026-05-29,OPEN
PLAN-000444,SESS-000444,1000000462,0001,000000000030000187,3000,VZIREQ01,Planned shutdown replacement,3.000,2026-02-12,CLOSED
PLAN-000445,SESS-000445,1000000463,0001,000000000030000187,1000,VZIREQ04,Reliability improvement upgrade,3.000,2026-09-07,OPEN
PLAN-000446,SESS-000446,1000000464,0001,000000000030000187,1000,VZIREQ02,Planned shutdown replacement,3.000,2026-01-11,CLOSED
PLAN-000447,SESS-000447,1000000465,0001,000000000030000187,1000,VZIREQ03,Breakdown replacement,1.000,2025-12-05,CLOSED
PLAN-000448,SESS-000448,1000000466,0001,000000000030000188,3000,VZIREQ02,Statutory inspection rebuild,3.000,2025-11-18,CLOSED
PLAN-000449,SESS-000449,1000000467,0001,000000000030000188,3000,VZIREQ02,Statutory inspection rebuild,4.000,2026-08-06,OPEN
PLAN-000450,SESS-000450,1000000468,0001,000000000030000188,3000,VZIREQ05,Reliability improvement upgrade,2.000,2026-02-14,CLOSED
PLAN-000451,SESS-000451,1000000469,0001,000000000030000189,2000,VZIREQ04,Breakdown replacement,2.000,2026-05-22,OPEN
PLAN-000452,SESS-000452,1000000470,0001,000000000030000189,2000,VZIREQ04,Breakdown replacement,3.000,2026-04-09,CLOSED
PLAN-000453,SESS-000453,1000000471,0001,000000000030000189,3000,VZIREQ01,Condition monitoring intervention,2.000,2026-07-15,OPEN
PLAN-000454,SESS-000454,1000000472,0001,000000000030000189,3000,VZIREQ01,Breakdown replacement,4.000,2026-08-22,CLOSED
PLAN-000455,SESS-000455,1000000473,0001,000000000030000190,1000,VZIREQ03,Condition monitoring intervention,4.000,2026-03-09,CLOSED
PLAN-000456,SESS-000456,1000000474,0001,000000000030000190,1000,VZIREQ04,Statutory inspection rebuild,3.000,2026-08-17,CLOSED
PLAN-000457,SESS-000457,1000000475,0001,000000000030000191,2000,VZIREQ03,Capital project spare,3.000,2026-04-10,CLOSED
PLAN-000458,SESS-000458,1000000476,0001,000000000030000192,4000,VZIREQ01,Breakdown replacement,2.000,2026-03-12,CLOSED
PLAN-000459,SESS-000459,1000000477,0001,000000000030000192,4000,VZIREQ01,Reliability improvement upgrade,1.000,2026-08-21,CLOSED
PLAN-000460,SESS-000460,1000000478,0001,000000000030000192,4000,VZIREQ01,Planned shutdown replacement,1.000,2026-04-18,CLOSED
PLAN-000461,SESS-000461,1000000479,0001,000000000030000192,1000,VZIREQ02,Planned shutdown replacement,2.000,2026-03-22,OPEN
PLAN-000462,SESS-000462,1000000480,0001,000000000030000192,1000,VZIREQ05,Capital project spare,4.000,2026-06-14,CLOSED
PLAN-000463,SESS-000463,1000000481,0001,000000000030000192,1000,VZIREQ01,Breakdown replacement,2.000,2025-11-29,CLOSED
PLAN-000464,SESS-000464,1000000482,0001,000000000030000193,1000,VZIREQ01,Breakdown replacement,1.000,2026-08-07,OPEN
PLAN-000465,SESS-000465,1000000483,0001,000000000030000194,1000,VZIREQ05,Condition monitoring intervention,2.000,2026-05-12,CLOSED
PLAN-000466,SESS-000466,1000000484,0001,000000000030000194,1000,VZIREQ01,Breakdown replacement,4.000,2026-07-18,CLOSED
PLAN-000467,SESS-000467,1000000485,0001,000000000030000194,1000,VZIREQ01,Capital project spare,3.000,2026-05-20,CLOSED
PLAN-000468,SESS-000468,1000000486,0001,000000000030000195,3000,VZIREQ05,Condition monitoring intervention,1.000,2026-04-11,CLOSED
PLAN-000469,SESS-000469,1000000487,0001,000000000030000196,3000,VZIREQ04,Breakdown replacement,3.000,2026-03-31,OPEN
PLAN-000470,SESS-000470,1000000488,0001,000000000030000196,3000,VZIREQ02,Capital project spare,4.000,2026-07-30,CLOSED
PLAN-000471,SESS-000471,1000000489,0001,000000000030000196,3000,VZIREQ05,Reliability improvement upgrade,1.000,2026-06-24,OPEN
PLAN-000472,SESS-000472,1000000490,0001,000000000030000197,3000,VZIREQ04,Condition monitoring intervention,1.000,2026-05-03,CLOSED
PLAN-000473,SESS-000473,1000000491,0001,000000000030000197,3000,VZIREQ04,Breakdown replacement,2.000,2026-05-02,OPEN
PLAN-000474,SESS-000474,1000000492,0001,000000000030000197,3000,VZIREQ04,Breakdown replacement,4.000,2026-04-25,CLOSED
PLAN-000475,SESS-000475,1000000493,0001,000000000030000197,4000,VZIREQ02,Capital project spare,3.000,2026-01-02,CLOSED
PLAN-000476,SESS-000476,1000000494,0001,000000000030000197,4000,VZIREQ02,Reliability improvement upgrade,2.000,2026-08-13,CLOSED
PLAN-000477,SESS-000477,1000000495,0001,000000000030000197,4000,VZIREQ04,Statutory inspection rebuild,2.000,2025-12-24,CLOSED
PLAN-000478,SESS-000478,1000000496,0001,000000000030000198,2000,VZIREQ05,Statutory inspection rebuild,2.000,2026-07-19,OPEN
PLAN-000479,SESS-000479,1000000497,0001,000000000030000199,3000,VZIREQ01,Breakdown replacement,3.000,2025-12-08,OPEN
PLAN-000480,SESS-000480,1000000498,0001,000000000030000199,3000,VZIREQ02,Planned shutdown replacement,3.000,2026-03-27,CLOSED
PLAN-000481,SESS-000481,1000000500,0001,000000000030000200,1000,VZIREQ05,Reliability improvement upgrade,2.000,2026-02-12,CLOSED
PLAN-000482,SESS-000482,1000000501,0001,000000000030000200,1000,VZIREQ04,Breakdown replacement,2.000,2026-01-15,OPEN
PLAN-000483,SESS-000483,1000000503,0001,000000000030000201,2000,VZIREQ03,Condition monitoring intervention,1.000,2026-03-15,CLOSED
PLAN-000484,SESS-000484,1000000504,0001,000000000030000202,3000,VZIREQ02,Capital project spare,3.000,2025-12-06,OPEN
PLAN-000485,SESS-000485,1000000505,0001,000000000030000202,3000,VZIREQ03,Breakdown replacement,2.000,2026-07-06,CLOSED
PLAN-000486,SESS-000486,1000000506,0001,000000000030000202,3000,VZIREQ03,Planned shutdown replacement,3.000,2026-08-08,CLOSED
PLAN-000487,SESS-000487,1000000507,0001,000000000030000203,1000,VZIREQ03,Reliability improvement upgrade,2.000,2026-05-12,CLOSED
PLAN-000488,SESS-000488,1000000508,0001,000000000030000204,3000,VZIREQ03,Condition monitoring intervention,4.000,2025-11-25,OPEN
PLAN-000489,SESS-000489,1000000509,0001,000000000030000204,3000,VZIREQ01,Breakdown replacement,2.000,2026-07-14,CLOSED
PLAN-000490,SESS-000490,1000000510,0001,000000000030000204,3000,VZIREQ04,Capital project spare,3.000,2026-05-04,OPEN
PLAN-000491,SESS-000491,1000000511,0001,000000000030000205,2000,VZIREQ01,Planned shutdown replacement,2.000,2026-01-12,CLOSED
PLAN-000492,SESS-000492,1000000512,0001,000000000030000206,2000,VZIREQ04,Breakdown replacement,3.000,2026-04-07,CLOSED
PLAN-000493,SESS-000493,1000000513,0001,000000000030000206,2000,VZIREQ03,Statutory inspection rebuild,4.000,2026-05-14,OPEN
PLAN-000494,SESS-000494,1000000514,0001,000000000030000206,2000,VZIREQ01,Statutory inspection rebuild,4.000,2025-11-15,CLOSED
PLAN-000495,SESS-000495,1000000515,0001,000000000030000206,3000,VZIREQ04,Reliability improvement upgrade,1.000,2026-05-09,OPEN
PLAN-000496,SESS-000496,1000000516,0001,000000000030000207,1000,VZIREQ04,Condition monitoring intervention,2.000,2026-01-21,OPEN
PLAN-000497,SESS-000497,1000000517,0001,000000000030000207,1000,VZIREQ01,Breakdown replacement,2.000,2025-12-23,OPEN
PLAN-000498,SESS-000498,1000000518,0001,000000000030000208,1000,VZIREQ04,Statutory inspection rebuild,3.000,2026-06-29,OPEN
PLAN-000499,SESS-000499,1000000519,0001,000000000030000208,1000,VZIREQ04,Breakdown replacement,4.000,2026-05-08,OPEN
PLAN-000500,SESS-000500,1000000520,0001,000000000030000209,2000,VZIREQ03,Condition monitoring intervention,1.000,2026-05-25,OPEN
PLAN-000501,SESS-000501,1000000521,0001,000000000030000209,2000,VZIREQ04,Planned shutdown replacement,2.000,2026-01-07,CLOSED
PLAN-000502,SESS-000502,1000000522,0001,000000000030000209,2000,VZIREQ01,Planned shutdown replacement,4.000,2026-01-16,OPEN
PLAN-000503,SESS-000503,1000000523,0001,000000000030000210,1000,VZIREQ02,Planned shutdown replacement,4.000,2025-12-26,CLOSED
PLAN-000504,SESS-000504,1000000524,0001,000000000030000210,1000,VZIREQ02,Capital project spare,3.000,2026-08-29,OPEN
PLAN-000505,SESS-000505,1000000525,0001,000000000030000210,1000,VZIREQ05,Statutory inspection rebuild,3.000,2026-01-13,OPEN
PLAN-000506,SESS-000506,1000000526,0001,000000000030000211,3000,VZIREQ03,Condition monitoring intervention,1.000,2026-03-18,OPEN
PLAN-000507,SESS-000507,1000000527,0001,000000000030000211,3000,VZIREQ03,Planned shutdown replacement,1.000,2026-08-24,OPEN
PLAN-000508,SESS-000508,1000000528,0001,000000000030000212,1000,VZIREQ05,Capital project spare,1.000,2026-08-11,OPEN
PLAN-000509,SESS-000509,1000000529,0001,000000000030000212,1000,VZIREQ04,Breakdown replacement,2.000,2026-06-23,OPEN
PLAN-000510,SESS-000510,1000000530,0001,000000000030000213,4000,VZIREQ03,Capital project spare,2.000,2026-02-13,CLOSED
PLAN-000511,SESS-000511,1000000531,0001,000000000030000214,3000,VZIREQ03,Capital project spare,3.000,2026-07-06,OPEN
PLAN-000512,SESS-000512,1000000532,0001,000000000030000214,3000,VZIREQ01,Statutory inspection rebuild,1.000,2026-06-02,CLOSED
PLAN-000513,SESS-000513,1000000533,0001,000000000030000214,3000,VZIREQ01,Breakdown replacement,4.000,2025-11-14,CLOSED
PLAN-000514,SESS-000514,1000000534,0001,000000000030000215,1000,VZIREQ04,Condition monitoring intervention,2.000,2026-01-07,CLOSED
PLAN-000515,SESS-000515,1000000535,0001,000000000030000215,1000,VZIREQ05,Statutory inspection rebuild,1.000,2026-06-04,CLOSED
PLAN-000516,SESS-000516,1000000536,0001,000000000030000215,1000,VZIREQ02,Capital project spare,2.000,2026-06-03,OPEN
PLAN-000517,SESS-000517,1000000537,0001,000000000030000216,4000,VZIREQ04,Reliability improvement upgrade,3.000,2026-05-02,OPEN
PLAN-000518,SESS-000518,1000000538,0001,000000000030000216,4000,VZIREQ05,Breakdown replacement,2.000,2026-03-30,CLOSED
PLAN-000519,SESS-000519,1000000539,0001,000000000030000217,4000,VZIREQ03,Condition monitoring intervention,3.000,2026-08-11,OPEN
PLAN-000520,SESS-000520,1000000540,0001,000000000030000217,4000,VZIREQ04,Breakdown replacement,3.000,2026-01-13,OPEN
PLAN-000521,SESS-000521,1000000541,0001,000000000030000217,4000,VZIREQ03,Breakdown replacement,3.000,2026-04-28,OPEN
PLAN-000522,SESS-000522,1000000542,0001,000000000030000217,3000,VZIREQ05,Breakdown replacement,2.000,2026-04-15,CLOSED
PLAN-000523,SESS-000523,1000000543,0001,000000000030000218,1000,VZIREQ03,Reliability improvement upgrade,3.000,2025-11-05,CLOSED
PLAN-000524,SESS-000524,1000000544,0001,000000000030000219,1000,VZIREQ05,Reliability improvement upgrade,3.000,2026-04-30,CLOSED
PLAN-000525,SESS-000525,1000000545,0001,000000000030000219,1000,VZIREQ02,Capital project spare,4.000,2026-05-03,CLOSED
PLAN-000526,SESS-000526,1000000546,0001,000000000030000219,1000,VZIREQ05,Statutory inspection rebuild,3.000,2026-01-12,OPEN
PLAN-000527,SESS-000527,1000000547,0001,000000000030000220,2000,VZIREQ03,Breakdown replacement,4.000,2026-06-17,OPEN
PLAN-000528,SESS-000528,1000000548,0001,000000000030000220,2000,VZIREQ05,Reliability improvement upgrade,1.000,2026-02-21,OPEN
PLAN-000529,SESS-000529,1000000549,0001,000000000030000220,2000,VZIREQ01,Reliability improvement upgrade,2.000,2026-07-28,CLOSED
PLAN-000530,SESS-000530,1000000550,0001,000000000030000221,4000,VZIREQ04,Reliability improvement upgrade,2.000,2026-01-01,CLOSED
PLAN-000531,SESS-000531,1000000551,0001,000000000030000221,4000,VZIREQ04,Capital project spare,3.000,2026-05-29,CLOSED
PLAN-000532,SESS-000532,1000000552,0001,000000000030000222,1000,VZIREQ01,Statutory inspection rebuild,2.000,2026-01-30,CLOSED
PLAN-000533,SESS-000533,1000000553,0001,000000000030000222,2000,VZIREQ04,Planned shutdown replacement,2.000,2026-06-06,OPEN
PLAN-000534,SESS-000534,1000000554,0001,000000000030000222,2000,VZIREQ05,Planned shutdown replacement,1.000,2026-04-23,CLOSED
PLAN-000535,SESS-000535,1000000555,0001,000000000030000222,2000,VZIREQ03,Capital project spare,2.000,2026-06-30,CLOSED
PLAN-000536,SESS-000536,1000000556,0001,000000000030000223,4000,VZIREQ04,Reliability improvement upgrade,2.000,2026-06-02,OPEN
PLAN-000537,SESS-000537,1000000557,0001,000000000030000223,4000,VZIREQ05,Capital project spare,3.000,2026-06-05,CLOSED
PLAN-000538,SESS-000538,1000000558,0001,000000000030000223,4000,VZIREQ04,Planned shutdown replacement,2.000,2026-08-01,CLOSED
PLAN-000539,SESS-000539,1000000559,0001,000000000030000223,3000,VZIREQ01,Capital project spare,4.000,2026-02-14,CLOSED
PLAN-000540,SESS-000540,1000000560,0001,000000000030000224,2000,VZIREQ03,Breakdown replacement,4.000,2026-05-24,OPEN
PLAN-000541,SESS-000541,1000000561,0001,000000000030000224,2000,VZIREQ04,Capital project spare,4.000,2025-11-08,CLOSED
PLAN-000542,SESS-000542,1000000562,0001,000000000030000224,4000,VZIREQ04,Statutory inspection rebuild,4.000,2026-07-31,CLOSED
PLAN-000543,SESS-000543,1000000563,0001,000000000030000224,4000,VZIREQ04,Condition monitoring intervention,4.000,2026-06-10,OPEN
PLAN-000544,SESS-000544,1000000564,0001,000000000030000225,1000,VZIREQ01,Reliability improvement upgrade,3.000,2026-04-15,OPEN
PLAN-000545,SESS-000545,1000000565,0001,000000000030000225,1000,VZIREQ01,Capital project spare,1.000,2026-07-23,OPEN
PLAN-000546,SESS-000546,1000000566,0001,000000000030000225,1000,VZIREQ04,Breakdown replacement,3.000,2026-05-13,CLOSED
PLAN-000547,SESS-000547,1000000567,0001,000000000030000225,4000,VZIREQ02,Planned shutdown replacement,3.000,2026-06-16,OPEN
PLAN-000548,SESS-000548,1000000568,0001,000000000030000225,4000,VZIREQ02,Statutory inspection rebuild,3.000,2026-06-05,CLOSED
PLAN-000549,SESS-000549,1000000569,0001,000000000030000226,1000,VZIREQ05,Capital project spare,1.000,2026-04-29,CLOSED
PLAN-000550,SESS-000550,1000000571,0001,000000000030000226,1000,VZIREQ04,Breakdown replacement,4.000,2026-05-06,OPEN
PLAN-000551,SESS-000551,1000000572,0001,000000000030000227,3000,VZIREQ03,Condition monitoring intervention,1.000,2026-03-23,CLOSED
PLAN-000552,SESS-000552,1000000573,0001,000000000030000227,3000,VZIREQ03,Reliability improvement upgrade,3.000,2026-04-27,CLOSED
PLAN-000553,SESS-000553,1000000574,0001,000000000030000227,3000,VZIREQ05,Planned shutdown replacement,2.000,2025-12-07,CLOSED
PLAN-000554,SESS-000554,1000000575,0001,000000000030000228,2000,VZIREQ04,Reliability improvement upgrade,2.000,2026-07-12,CLOSED
PLAN-000555,SESS-000555,1000000576,0001,000000000030000228,2000,VZIREQ05,Breakdown replacement,2.000,2026-03-19,CLOSED
PLAN-000556,SESS-000556,1000000577,0001,000000000030000229,3000,VZIREQ05,Statutory inspection rebuild,3.000,2026-04-23,OPEN
PLAN-000557,SESS-000557,1000000578,0001,000000000030000230,1000,VZIREQ02,Breakdown replacement,4.000,2026-06-19,OPEN
PLAN-000558,SESS-000558,1000000579,0001,000000000030000230,4000,VZIREQ02,Breakdown replacement,2.000,2026-04-18,CLOSED
PLAN-000559,SESS-000559,1000000580,0001,000000000030000230,4000,VZIREQ04,Breakdown replacement,1.000,2026-07-29,OPEN
PLAN-000560,SESS-000560,1000000581,0001,000000000030000231,1000,VZIREQ01,Capital project spare,3.000,2026-04-26,OPEN
PLAN-000561,SESS-000561,1000000582,0001,000000000030000232,1000,VZIREQ04,Planned shutdown replacement,3.000,2025-11-14,CLOSED
PLAN-000562,SESS-000562,1000000583,0001,000000000030000232,1000,VZIREQ03,Reliability improvement upgrade,1.000,2026-04-08,OPEN
PLAN-000563,SESS-000563,1000000584,0001,000000000030000233,1000,VZIREQ01,Planned shutdown replacement,2.000,2025-12-22,CLOSED
PLAN-000564,SESS-000564,1000000585,0001,000000000030000233,1000,VZIREQ01,Statutory inspection rebuild,1.000,2025-11-16,CLOSED
PLAN-000565,SESS-000565,1000000586,0001,000000000030000233,1000,VZIREQ02,Breakdown replacement,4.000,2026-05-29,OPEN
PLAN-000566,SESS-000566,1000000587,0001,000000000030000234,1000,VZIREQ04,Reliability improvement upgrade,1.000,2025-11-30,CLOSED
PLAN-000567,SESS-000567,1000000588,0001,000000000030000234,1000,VZIREQ05,Breakdown replacement,1.000,2026-05-15,CLOSED
PLAN-000568,SESS-000568,1000000589,0001,000000000030000234,1000,VZIREQ05,Breakdown replacement,2.000,2026-03-10,CLOSED
PLAN-000569,SESS-000569,1000000590,0001,000000000030000235,4000,VZIREQ02,Condition monitoring intervention,1.000,2026-07-24,CLOSED
PLAN-000570,SESS-000570,1000000591,0001,000000000030000235,4000,VZIREQ03,Condition monitoring intervention,4.000,2026-03-19,OPEN
PLAN-000571,SESS-000571,1000000592,0001,000000000030000236,2000,VZIREQ04,Breakdown replacement,1.000,2026-01-17,OPEN
PLAN-000572,SESS-000572,1000000593,0001,000000000030000236,2000,VZIREQ01,Planned shutdown replacement,1.000,2026-08-09,CLOSED
PLAN-000573,SESS-000573,1000000594,0001,000000000030000236,2000,VZIREQ01,Condition monitoring intervention,2.000,2026-06-29,OPEN
PLAN-000574,SESS-000574,1000000595,0001,000000000030000237,2000,VZIREQ01,Breakdown replacement,2.000,2026-05-14,OPEN
PLAN-000575,SESS-000575,1000000596,0001,000000000030000237,2000,VZIREQ01,Condition monitoring intervention,3.000,2026-02-13,OPEN
PLAN-000576,SESS-000576,1000000597,0001,000000000030000238,2000,VZIREQ04,Reliability improvement upgrade,3.000,2026-03-10,CLOSED
PLAN-000577,SESS-000577,1000000598,0001,000000000030000239,1000,VZIREQ02,Breakdown replacement,3.000,2026-02-15,CLOSED
PLAN-000578,SESS-000578,1000000599,0001,000000000030000239,1000,VZIREQ02,Capital project spare,4.000,2026-08-08,CLOSED
PLAN-000579,SESS-000579,1000000600,0001,000000000030000240,3000,VZIREQ04,Condition monitoring intervention,1.000,2026-03-25,CLOSED
PLAN-000580,SESS-000580,1000000601,0001,000000000030000240,3000,VZIREQ02,Condition monitoring intervention,4.000,2025-12-30,CLOSED
PLAN-000581,SESS-000581,1000000602,0001,000000000030000240,3000,VZIREQ03,Breakdown replacement,2.000,2026-07-13,OPEN
PLAN-000582,SESS-000582,1000000603,0001,000000000030000241,4000,VZIREQ04,Breakdown replacement,4.000,2026-04-29,CLOSED
PLAN-000583,SESS-000583,1000000604,0001,000000000030000242,4000,VZIREQ03,Condition monitoring intervention,2.000,2026-08-10,OPEN
PLAN-000584,SESS-000584,1000000605,0001,000000000030000243,1000,VZIREQ03,Capital project spare,2.000,2026-08-04,CLOSED
PLAN-000585,SESS-000585,1000000606,0001,000000000030000243,1000,VZIREQ04,Reliability improvement upgrade,4.000,2026-07-15,CLOSED
PLAN-000586,SESS-000586,1000000608,0001,000000000030000244,4000,VZIREQ03,Reliability improvement upgrade,3.000,2026-01-19,CLOSED
PLAN-000587,SESS-000587,1000000609,0001,000000000030000244,4000,VZIREQ05,Planned shutdown replacement,2.000,2026-06-17,CLOSED
PLAN-000588,SESS-000588,1000000610,0001,000000000030000245,1000,VZIREQ01,Reliability improvement upgrade,4.000,2026-02-13,OPEN
PLAN-000589,SESS-000589,1000000611,0001,000000000030000245,1000,VZIREQ02,Statutory inspection rebuild,3.000,2026-08-07,OPEN
PLAN-000590,SESS-000590,1000000612,0001,000000000030000245,1000,VZIREQ05,Statutory inspection rebuild,4.000,2026-06-03,OPEN
PLAN-000591,SESS-000591,1000000613,0001,000000000030000246,4000,VZIREQ02,Condition monitoring intervention,3.000,2026-01-03,CLOSED
PLAN-000592,SESS-000592,1000000614,0001,000000000030000246,4000,VZIREQ01,Planned shutdown replacement,1.000,2026-02-04,CLOSED
PLAN-000593,SESS-000593,1000000615,0001,000000000030000246,4000,VZIREQ04,Planned shutdown replacement,1.000,2026-08-18,CLOSED
PLAN-000594,SESS-000594,1000000616,0001,000000000030000247,4000,VZIREQ02,Statutory inspection rebuild,4.000,2026-04-12,OPEN
PLAN-000595,SESS-000595,1000000617,0001,000000000030000247,4000,VZIREQ05,Planned shutdown replacement,3.000,2026-02-03,OPEN
PLAN-000596,SESS-000596,1000000618,0001,000000000030000247,4000,VZIREQ01,Planned shutdown replacement,4.000,2026-05-30,CLOSED
PLAN-000597,SESS-000597,1000000619,0001,000000000030000248,4000,VZIREQ03,Breakdown replacement,3.000,2025-12-08,CLOSED
PLAN-000598,SESS-000598,1000000620,0001,000000000030000248,4000,VZIREQ02,Statutory inspection rebuild,4.000,2025-12-11,CLOSED
PLAN-000599,SESS-000599,1000000621,0001,000000000030000248,4000,VZIREQ01,Breakdown replacement,2.000,2026-02-08,CLOSED
PLAN-000600,SESS-000600,1000000622,0001,000000000030000248,2000,VZIREQ04,Capital project spare,2.000,2026-06-19,CLOSED
PLAN-000601,SESS-000601,1000000623,0001,000000000030000248,2000,VZIREQ04,Capital project spare,2.000,2026-02-08,CLOSED
PLAN-000602,SESS-000602,1000000624,0001,000000000030000249,2000,VZIREQ01,Reliability improvement upgrade,2.000,2026-03-23,OPEN
PLAN-000603,SESS-000603,1000000625,0001,000000000030000249,2000,VZIREQ02,Breakdown replacement,1.000,2025-12-29,CLOSED
PLAN-000604,SESS-000604,1000000626,0001,000000000030000249,2000,VZIREQ05,Capital project spare,1.000,2025-11-21,CLOSED
PLAN-000605,SESS-000605,1000000628,0001,000000000030000251,1000,VZIREQ04,Breakdown replacement,2.000,2026-06-08,CLOSED
PLAN-000606,SESS-000606,1000000629,0001,000000000030000252,1000,VZIREQ02,Breakdown replacement,2.000,2026-07-29,CLOSED
PLAN-000607,SESS-000607,1000000631,0001,000000000030000253,3000,VZIREQ01,Capital project spare,1.000,2026-08-29,CLOSED
PLAN-000608,SESS-000608,1000000632,0001,000000000030000253,3000,VZIREQ04,Planned shutdown replacement,2.000,2026-05-01,CLOSED
PLAN-000609,SESS-000609,1000000633,0001,000000000030000254,3000,VZIREQ04,Condition monitoring intervention,4.000,2026-03-24,OPEN
PLAN-000610,SESS-000610,1000000634,0001,000000000030000254,3000,VZIREQ01,Capital project spare,2.000,2026-05-01,OPEN
PLAN-000611,SESS-000611,1000000635,0001,000000000030000255,1000,VZIREQ03,Breakdown replacement,2.000,2026-03-10,OPEN
PLAN-000612,SESS-000612,1000000636,0001,000000000030000256,3000,VZIREQ04,Planned shutdown replacement,1.000,2026-05-30,OPEN
PLAN-000613,SESS-000613,1000000637,0001,000000000030000256,3000,VZIREQ02,Reliability improvement upgrade,3.000,2026-03-30,CLOSED
PLAN-000614,SESS-000614,1000000638,0001,000000000030000257,2000,VZIREQ01,Breakdown replacement,3.000,2026-03-22,OPEN
PLAN-000615,SESS-000615,1000000639,0001,000000000030000257,3000,VZIREQ05,Capital project spare,4.000,2026-03-30,CLOSED
