Matnr,Spras,Maktx
000000000010000596,EN,Flotation Cell Impeller 6/4 MULTOTEC
000000000030000132,EN,Hydraulic Power Pack 200MM MULTOTEC
000000000010000597,EN,Slurry Pump Mechanical Seal 8/6 METSO
000000000030000133,EN,Mill Liner TYPE A SIEMENS
000000000080000134,EN,Thickener Rake Seal Kit 6/4 SEW
000000000010000598,EN,Centrifugal Pump Casing 250KW SEW
000000000090000033,EN,Flotation Blower Motor 250MM KSB
000000000030000134,EN,Slurry Pump Wet End Assembly HD SEW
000000000010000599,EN,Agitator Shaft Seal TYPE A SANDVIK
000000000010000600,EN,Spherical Roller Bearing 8/6 ABB
000000000080000135,EN,Ball Mill Shell Liner Plate HD SANDVIK
000000000080000136,EN,Slurry Pump Wet End Assembly 6/4 METSO
000000000010000601,EN,Thickener Rake Drive Gearbox 55KW
000000000010000602,EN,Conveyor Take-Up Pulley 10/8 SANDVIK
000000000010000603,EN,Crusher Main Shaft Bearing 55KW WEIR
000000000010000604,EN,Flotation Blower Motor 8/6 ABB
000000000010000605,EN,Skirt Rubber Liner Section DN150 WEIR
000000000010000606,EN,Ventilation Fan Motor TYPE A ABB
000000000010000607,EN,Flow Meter Sensor Head 200MM METSO
000000000080000137,EN,Vertical Sump Pump Column 200MM METSO
000000000080000138,EN,Ball Mill Shell Liner Plate 250KW SEW
000000000080000139,EN,Ball Mill Shell Liner Plate 200MM ABB
000000000030000135,EN,Level Radar Transmitter TYPE A FLSM
000000000010000608,EN,Hydraulic Power Pack 250MM FLSM
000000000010000609,EN,Gland Packing Seal Ring DN100 SANDVIK
000000000080000140,EN,Flow Meter Sensor Head 150MM SKF
000000000010000610,EN,Flotation Cell Impeller 10/8 SKF
000000000030000136,EN,MCC Feeder Circuit Breaker HD SEW
000000000080000141,EN,Ball Mill Trunnion Bearing 200MM SEW
000000000010000611,EN,Agitator Shaft Seal 8/6 MULTOTEC
000000000010000612,EN,Cyclone Apex Liner 150MM ABB
000000000080000142,EN,Gland Packing Seal Ring TYPE B WEIR
000000000030000137,EN,MCC Feeder Circuit Breaker 150MM WEIR
000000000010000613,EN,Conveyor Idler Roller Set 150MM WEIR
000000000010000614,EN,Thickener Rake Seal Kit 6/4 SIEMENS
000000000010000615,EN,Conveyor Drive Motor HD KSB
000000000090000034,EN,PLC Digital Output Card DN100 SKF
000000000080000143,EN,Agitator Shaft Seal 110KW ABB
000000000010000616,EN,Centrifugal Pump Casing 250MM FLSM
000000000010000617,EN,Vertical Sump Pump Column 8/6 SKF
000000000080000144,EN,Agitator Shaft Seal 250MM FLSM
000000000010000618,EN,Centrifugal Pump Casing 150MM FLSM
000000000080000145,EN,Apron Feeder Gear Reducer TYPE A ABB
000000000030000138,EN,Conveyor Drive Motor DN150 WEIR
000000000010000619,EN,Slurry Pump Wet End Assembly 110KW METSO
000000000010000620,EN,Conveyor Drive Gearbox 150MM WEIR
000000000010000621,EN,Pressure Transmitter Assembly 55KW SEW
000000000010000622,EN,Ball Mill Shell Liner Plate 250KW SKF
000000000010000623,EN,Slurry Pump Wet End Assembly DN150
000000000010000624,EN,Conveyor Take-Up Pulley 8/6 METSO
000000000030000139,EN,Slurry Pump Mechanical Seal 250MM WEIR
000000000010000625,EN,Spherical Roller Bearing 55KW SEW
000000000010000626,EN,Flotation Blower Motor DN100 FLSM
000000000010000627,EN,Pump Impeller 8/6 ABB
000000000010000628,EN,Slurry Pump Mechanical Seal 200MM SEW
000000000090000035,EN,Mill Liner 250MM SANDVIK
000000000010000629,EN,Flotation Blower Motor 8/6 MULTOTEC
000000000030000140,EN,Ball Mill Trunnion Bearing 10/8 WEIR
000000000010000630,EN,Flotation Cell Impeller 200MM SANDVIK
000000000010000631,EN,Centrifugal Pump Casing TYPE A MULTOTEC
000000000080000146,EN,Mill Liner 250KW SEW
000000000030000141,EN,Pressure Transmitter Assembly 8/6 KSB
000000000080000147,EN,Ventilation Fan Motor TYPE B ABB
000000000090000036,EN,Hydraulic Power Pack 10/8 SEW
000000000080000148,EN,Agitator Shaft Seal DN100 METSO
000000000010000632,EN,Conveyor Drive Gearbox 150MM FLSM
000000000010000633,EN,Variable Speed Drive Unit 6/4 KSB
000000000030000142,EN,Gearbox Bearing 250MM KSB
000000000080000149,EN,PLC Digital Output Card 150MM SIEMENS
000000000030000143,EN,Conveyor Take-Up Pulley 150MM FLSM
000000000010000634,EN,Ball Mill Gearbox Assembly 8/6 WEIR
000000000010000635,EN,Conveyor Idler Roller Set 150MM KSB
000000000090000037,EN,Ball Mill Gearbox Assembly 6/4 ABB
000000000030000144,EN,Ball Mill Shell Liner Plate DN100 KSB
000000000010000636,EN,Hydraulic Pump Assembly 8/6 WEIR
000000000010000637,EN,Variable Speed Drive Unit 8/6
000000000010000638,EN,Mill Liner 55KW METSO
000000000010000639,EN,Spherical Roller Bearing 110KW METSO
000000000010000640,EN,Skirt Rubber Liner Section 8/6 KSB
000000000010000641,EN,PLC Digital Output Card 250KW SANDVIK
000000000080000150,EN,Crusher Hydroset Cylinder DN150 SKF
000000000010000642,EN,Conveyor Take-Up Pulley 200MM SEW
000000000010000643,EN,Flow Meter Sensor Head HD KSB
000000000080000151,EN,Valve Assembly TYPE B SKF
000000000010000644,EN,Vertical Sump Pump Column DN150 SIEMENS
000000000010000645,EN,Flotation Blower Motor 10/8 SEW
000000000030000145,EN,Crusher Main Shaft Bearing 250MM
000000000010000646,EN,MCC Feeder Circuit Breaker 8/6 SANDVIK
000000000030000146,EN,Vertical Sump Pump Column 110KW MULTOTEC
000000000010000647,EN,Conveyor Drive Motor 6/4 METSO
000000000080000152,EN,Conveyor Drive Gearbox 250MM SEW
000000000010000648,EN,Centrifugal Pump Casing TYPE B SIEMENS
000000000010000649,EN,Level Radar Transmitter DN150 KSB
000000000010000650,EN,Vertical Sump Pump Column 110KW KSB
000000000010000651,EN,Hydraulic Power Pack TYPE A SIEMENS
000000000010000652,EN,Hydraulic Pump Assembly 200MM KSB
000000000010000653,EN,Thickener Rake Seal Kit TYPE A SKF
000000000010000654,EN,Pump Impeller DN100 KSB
000000000010000655,EN,Thickener Rake Drive Gearbox 110KW FLSM
000000000010000656,EN,Hydraulic Pump Assembly 10/8 METSO
000000000010000657,EN,Ventilation Fan Motor 6/4 SKF
000000000010000658,EN,Crusher Hydroset Cylinder TYPE A SANDVIK
000000000010000659,EN,Pump Impeller 200MM METSO
000000000010000660,EN,Apron Feeder Gear Reducer 10/8 SANDVIK
000000000010000661,EN,Pressure Transmitter Assembly 200MM
000000000010000662,EN,Ball Mill Shell Liner Plate 6/4 SIEMENS
000000000030000147,EN,Gearbox Bearing 250MM KSB
000000000030000148,EN,Cyclone Apex Liner 8/6 MULTOTEC
000000000010000663,EN,Pump Impeller 250MM FLSM
000000000010000664,EN,Mill Liner TYPE B SANDVIK
000000000080000153,EN,Conveyor Drive Gearbox TYPE A WEIR
000000000010000665,EN,Crusher Hydroset Cylinder DN150 SANDVIK
000000000010000666,EN,Conveyor Idler Roller Set DN100 WEIR
000000000030000149,EN,Flotation Cell Impeller TYPE A ABB
000000000010000667,EN,Variable Speed Drive Unit 250KW FLSM
000000000010000668,EN,Skirt Rubber Liner Section TYPE B SKF
000000000080000154,EN,Gland Packing Seal Ring DN150 WEIR
000000000030000150,EN,Cyclone Apex Liner DN150 SKF
000000000010000669,EN,MCC Feeder Circuit Breaker 110KW FLSM
000000000010000670,EN,Ball Mill Gearbox Assembly 10/8 MULTOTEC
000000000030000151,EN,Slurry Pump Wet End Assembly 110KW ABB
000000000080000155,EN,Conveyor Idler Roller Set 8/6 WEIR
000000000080000156,EN,Apron Feeder Gear Reducer 6/4 ABB
000000000010000671,EN,Ventilation Fan Motor DN150 MULTOTEC
000000000010000672,EN,Crusher Main Shaft Bearing 250MM METSO
000000000010000673,EN,Slurry Pump Mechanical Seal 150MM SEW
000000000010000674,EN,Soft Starter Power Module 150MM SEW
000000000010000675,EN,Gearbox Bearing 6/4 SEW
000000000010000676,EN,Ventilation Fan Motor 10/8 SIEMENS
000000000080000157,EN,Variable Speed Drive Unit TYPE B METSO
000000000030000152,EN,Slurry Pump Mechanical Seal TYPE A FLSM
000000000080000158,EN,Conveyor Pulley Bearing TYPE B SANDVIK
000000000090000038,EN,Crusher Main Shaft Bearing TYPE A SEW
000000000030000153,EN,Crusher Hydroset Cylinder 55KW SKF
000000000010000677,EN,Gland Packing Seal Ring 55KW FLSM
000000000010000678,EN,PLC Digital Output Card 200MM FLSM
000000000010000679,EN,Hydraulic Power Pack DN100 FLSM
000000000090000039,EN,Vertical Sump Pump Column HD SANDVIK
000000000080000159,EN,Mill Liner 150MM WEIR
000000000010000680,EN,Pressure Transmitter Assembly 55KW SKF
000000000010000681,EN,Valve Assembly 55KW SANDVIK
000000000080000160,EN,Conveyor Take-Up Pulley 110KW METSO
000000000030000154,EN,Level Radar Transmitter 250MM SKF
000000000010000682,EN,Conveyor Idler Roller Set 250MM SKF
000000000010000683,EN,Skirt Rubber Liner Section 250KW SANDVIK
000000000080000161,EN,Slurry Pump Mechanical Seal DN100 KSB
000000000030000155,EN,MCC Feeder Circuit Breaker 55KW METSO
000000000010000684,EN,Apron Feeder Gear Reducer HD ABB
000000000080000162,EN,Skirt Rubber Liner Section 250MM
000000000010000685,EN,Crusher Hydroset Cylinder DN150 SANDVIK
000000000030000156,EN,Conveyor Idler Roller Set DN150 MULTOTEC
000000000010000686,EN,Conveyor Pulley Bearing 250MM METSO
000000000090000040,EN,Conveyor Pulley Bearing 8/6 SKF
000000000010000687,EN,Ball Mill Gearbox Assembly 10/8 WEIR
000000000080000163,EN,Slurry Pump Wet End Assembly TYPE A ABB
000000000010000688,EN,Pump Impeller TYPE A SKF
000000000080000164,EN,Hydraulic Pump Assembly 8/6 SIEMENS
000000000080000165,EN,Gland Packing Seal Ring 8/6 SEW
000000000030000157,EN,Valve Assembly TYPE B FLSM
000000000080000166,EN,Hydraulic Pump Assembly DN150 SKF
000000000090000041,EN,Flow Meter Sensor Head 250KW WEIR
000000000080000167,EN,Pump Impeller HD FLSM
000000000010000689,EN,Thickener Rake Drive Gearbox 110KW
000000000010000690,EN,Hydraulic Power Pack 110KW SKF
000000000010000691,EN,Conveyor Pulley Bearing 110KW ABB
000000000010000692,EN,Cyclone Apex Liner 110KW SANDVIK
000000000010000693,EN,Hydraulic Pump Assembly 110KW ABB
000000000010000694,EN,Variable Speed Drive Unit TYPE B WEIR
000000000010000695,EN,Conveyor Take-Up Pulley 8/6 SEW
000000000030000158,EN,Ventilation Fan Motor 150MM ABB
000000000010000696,EN,Mill Liner 110KW SEW
000000000010000697,EN,Ventilation Fan Motor TYPE B KSB
000000000010000698,EN,Level Radar Transmitter 250KW SEW
000000000010000699,EN,Hydraulic Power Pack TYPE B SEW
000000000010000700,EN,Belt Scraper Blade Cartridge 10/8 SKF
000000000010000701,EN,Hydraulic Power Pack 110KW MULTOTEC
000000000010000702,EN,Valve Assembly HD KSB
000000000010000703,EN,Gearbox Bearing 200MM SIEMENS
000000000010000704,EN,Hydraulic Power Pack HD FLSM
000000000080000168,EN,Gearbox Bearing 8/6 METSO
000000000010000705,EN,Mill Liner 55KW KSB
000000000010000706,EN,Ball Mill Gearbox Assembly DN150 FLSM
000000000030000159,EN,Conveyor Idler Roller Set 55KW KSB
000000000010000707,EN,Flotation Cell Impeller HD FLSM
000000000010000708,EN,Screen Exciter Bearing 6/4 SANDVIK
000000000010000709,EN,Flow Meter Sensor Head DN150 SEW
000000000010000710,EN,Vertical Sump Pump Column 8/6 MULTOTEC
000000000010000711,EN,Valve Assembly 250MM ABB
000000000030000160,EN,Pressure Transmitter Assembly 55KW WEIR
000000000010000712,EN,Centrifugal Pump Casing 200MM MULTOTEC
000000000010000713,EN,Crusher Hydroset Cylinder DN100 SEW
000000000010000714,EN,Mill Liner 55KW KSB
000000000010000715,EN,Thickener Rake Drive Gearbox 55KW METSO
000000000010000716,EN,Pressure Transmitter Assembly 250MM WEIR
000000000010000717,EN,Apron Feeder Gear Reducer 6/4 KSB
000000000010000718,EN,Slurry Pump Wet End Assembly 200MM WEIR
000000000080000169,EN,Hydraulic Power Pack 150MM SIEMENS
000000000010000719,EN,Gland Packing Seal Ring DN100 SANDVIK
000000000010000720,EN,Soft Starter Power Module 10/8 ABB
000000000010000721,EN,Ball Mill Shell Liner Plate TYPE A SEW
000000000010000722,EN,Ball Mill Shell Liner Plate DN100 FLSM
000000000010000723,EN,MCC Feeder Circuit Breaker 8/6 SIEMENS
000000000030000161,EN,Slurry Density Transmitter HD MULTOTEC
000000000010000724,EN,Variable Speed Drive Unit TYPE A METSO
000000000030000162,EN,Crusher Hydroset Cylinder 110KW FLSM
000000000090000042,EN,Conveyor Take-Up Pulley HD WEIR
000000000030000163,EN,Mill Liner 55KW WEIR
000000000010000725,EN,Conveyor Take-Up Pulley 250MM SIEMENS
000000000010000726,EN,Conveyor Drive Motor TYPE B WEIR
000000000030000164,EN,Belt Scraper Blade Cartridge DN150 FLSM
000000000010000727,EN,Flotation Blower Motor 8/6 SEW
000000000090000043,EN,Slurry Pump Wet End Assembly 6/4
000000000010000728,EN,Vertical Sump Pump Column 200MM MULTOTEC
000000000080000170,EN,Ball Mill Gearbox Assembly DN100 METSO
000000000010000729,EN,Conveyor Idler Roller Set 200MM METSO
000000000080000171,EN,Mill Liner TYPE B ABB
000000000030000165,EN,Screen Exciter Bearing 250KW METSO
000000000010000730,EN,Ball Mill Shell Liner Plate DN150
000000000010000731,EN,Gland Packing Seal Ring DN150 SEW
000000000010000732,EN,Flotation Cell Impeller 250MM MULTOTEC
000000000010000733,EN,Flotation Cell Impeller HD METSO
000000000010000734,EN,Conveyor Pulley Bearing DN150 SEW
000000000010000735,EN,Thickener Rake Drive Gearbox 6/4 WEIR
000000000010000736,EN,Mill Liner 250MM SIEMENS
000000000010000737,EN,Slurry Pump Mechanical Seal TYPE A SKF
000000000080000172,EN,Gearbox Bearing 55KW SANDVIK
000000000080000173,EN,Hydraulic Power Pack 10/8 SKF
000000000090000044,EN,Slurry Pump Mechanical Seal 250KW SKF
000000000030000166,EN,Flotation Blower Motor 8/6 FLSM
000000000010000738,EN,Conveyor Pulley Bearing 6/4 SKF
000000000010000739,EN,Crusher Main Shaft Bearing DN150
000000000010000740,EN,Conveyor Drive Gearbox HD SANDVIK
000000000010000741,EN,Thickener Rake Seal Kit TYPE A ABB
000000000080000174,EN,Conveyor Drive Motor 200MM SEW
000000000010000742,EN,Spherical Roller Bearing 150MM SANDVIK
000000000010000743,EN,Conveyor Drive Motor TYPE B FLSM
000000000010000744,EN,Ball Mill Shell Liner Plate 55KW
000000000030000167,EN,Variable Speed Drive Unit DN150 FLSM
000000000010000745,EN,Ball Mill Shell Liner Plate 8/6 WEIR
000000000010000746,EN,Ventilation Fan Motor 10/8 SANDVIK
000000000010000747,EN,Thickener Rake Drive Gearbox DN100 KSB
000000000010000748,EN,Conveyor Drive Motor 8/6 METSO
000000000030000168,EN,Ball Mill Gearbox Assembly HD SIEMENS
000000000030000169,EN,Crusher Main Shaft Bearing DN100 WEIR
000000000010000749,EN,Pressure Transmitter Assembly HD
000000000030000170,EN,Conveyor Take-Up Pulley 250MM KSB
000000000080000175,EN,Conveyor Drive Gearbox 6/4 MULTOTEC
000000000010000750,EN,Vertical Sump Pump Column 110KW SIEMENS
000000000080000176,EN,Slurry Density Transmitter 250KW SIEMENS
000000000010000751,EN,Hydraulic Power Pack 150MM ABB
000000000010000752,EN,Slurry Density Transmitter 200MM WEIR
000000000010000753,EN,Hydraulic Pump Assembly 8/6 SIEMENS
000000000010000754,EN,Skirt Rubber Liner Section DN100 METSO
000000000030000171,EN,Thickener Rake Drive Gearbox DN100 METSO
000000000010000755,EN,Thickener Rake Drive Gearbox 250MM WEIR
000000000010000756,EN,Slurry Pump Mechanical Seal DN150 SKF
000000000010000757,EN,Flotation Cell Impeller 250KW SEW
000000000080000177,EN,Flotation Cell Impeller HD WEIR
000000000080000178,EN,Crusher Hydroset Cylinder 150MM FLSM
000000000010000758,EN,Screen Exciter Bearing DN100 SKF
000000000010000759,EN,Hydraulic Pump Assembly 200MM SANDVIK
000000000030000172,EN,Thickener Rake Seal Kit TYPE A SKF
000000000010000760,EN,Apron Feeder Gear Reducer 8/6 FLSM
000000000010000761,EN,Gland Packing Seal Ring HD SANDVIK
000000000080000179,EN,Flotation Cell Impeller 200MM SEW
000000000010000762,EN,Conveyor Drive Motor TYPE B ABB
000000000080000180,EN,Mill Lube Pump Motor 8/6 MULTOTEC
000000000010000763,EN,Slurry Density Transmitter 8/6 WEIR
000000000080000181,EN,Gland Packing Seal Ring 6/4 SANDVIK
000000000010000764,EN,Hydraulic Pump Assembly 250MM SKF
000000000010000765,EN,Mill Lube Pump Motor 6/4 MULTOTEC
000000000010000766,EN,Hydraulic Pump Assembly 150MM SEW
000000000010000767,EN,Centrifugal Pump Casing TYPE B SKF
000000000080000182,EN,Level Radar Transmitter 10/8 KSB
000000000030000173,EN,Ball Mill Trunnion Bearing HD WEIR
000000000010000768,EN,MCC Feeder Circuit Breaker 250MM SKF
000000000010000769,EN,Flow Meter Sensor Head DN100 SIEMENS
000000000010000770,EN,Conveyor Idler Roller Set 250MM ABB
000000000030000174,EN,Conveyor Drive Gearbox 150MM WEIR
000000000010000771,EN,Hydraulic Power Pack HD SIEMENS
000000000030000175,EN,Slurry Pump Wet End Assembly 10/8 METSO
000000000010000772,EN,Conveyor Drive Motor 110KW SEW
000000000010000773,EN,Thickener Rake Drive Gearbox 200MM
000000000010000774,EN,Belt Scraper Blade Cartridge 110KW SEW
000000000010000775,EN,Thickener Rake Drive Gearbox 10/8
000000000010000776,EN,Belt Scraper Blade Cartridge 6/4
000000000080000183,EN,Ball Mill Trunnion Bearing 10/8 METSO
000000000010000777,EN,Valve Assembly 55KW SANDVIK
000000000080000184,EN,Soft Starter Power Module DN100 FLSM
000000000010000778,EN,Ball Mill Trunnion Bearing DN100 SANDVIK
000000000010000779,EN,Ball Mill Trunnion Bearing 250KW FLSM
000000000090000045,EN,Crusher Main Shaft Bearing 8/6 METSO
000000000010000780,EN,Crusher Hydroset Cylinder 110KW METSO
000000000010000781,EN,Gearbox Bearing DN150 SKF
000000000010000782,EN,Conveyor Take-Up Pulley 8/6 MULTOTEC
000000000010000783,EN,Ball Mill Shell Liner Plate 150MM WEIR
000000000030000176,EN,Valve Assembly 200MM SIEMENS
000000000010000784,EN,Skirt Rubber Liner Section 150MM FLSM
000000000080000185,EN,Variable Speed Drive Unit 10/8 SEW
000000000010000785,EN,Mill Liner 250MM ABB
000000000010000786,EN,Crusher Hydroset Cylinder 6/4 SIEMENS
000000000010000787,EN,Thickener Rake Seal Kit 200MM FLSM
000000000010000788,EN,Slurry Pump Wet End Assembly 8/6 WEIR
000000000010000789,EN,Soft Starter Power Module DN150 WEIR
000000000030000177,EN,Hydraulic Pump Assembly HD METSO
000000000010000790,EN,Slurry Density Transmitter DN100 SEW
000000000010000791,EN,Slurry Pump Mechanical Seal 110KW METSO
000000000010000792,EN,Ball Mill Shell Liner Plate 55KW
000000000010000793,EN,Hydraulic Power Pack 55KW SEW
000000000030000178,EN,Slurry Pump Mechanical Seal TYPE A
000000000010000794,EN,Mill Liner TYPE B METSO
000000000010000795,EN,Belt Scraper Blade Cartridge 8/6 SIEMENS
000000000090000046,EN,Vertical Sump Pump Column 110KW SANDVIK
000000000010000796,EN,Centrifugal Pump Casing 200MM WEIR
000000000010000797,EN,Ventilation Fan Motor 55KW SEW
000000000010000798,EN,Conveyor Drive Motor 8/6 SANDVIK
000000000030000179,EN,Ball Mill Gearbox Assembly 10/8 METSO
000000000030000180,EN,Centrifugal Pump Casing 250KW ABB
000000000030000181,EN,Flotation Cell Impeller 110KW SEW
000000000030000182,EN,Slurry Pump Mechanical Seal HD METSO
000000000010000799,EN,Mill Liner 200MM FLSM
000000000010000800,EN,Agitator Shaft Seal 6/4 ABB
000000000010000801,EN,Ball Mill Gearbox Assembly 55KW KSB
000000000010000802,EN,Mill Liner 110KW METSO
000000000010000803,EN,Valve Assembly DN100 MULTOTEC
000000000010000804,EN,Ball Mill Gearbox Assembly 150MM SKF
000000000010000805,EN,Skirt Rubber Liner Section 8/6
000000000010000806,EN,Vertical Sump Pump Column 250KW SEW
000000000010000807,EN,Slurry Density Transmitter 200MM METSO
000000000010000808,EN,Ball Mill Gearbox Assembly 150MM SANDVIK
000000000010000809,EN,Ball Mill Trunnion Bearing DN100 SANDVIK
000000000080000186,EN,Spherical Roller Bearing 250MM KSB
000000000010000810,EN,Ball Mill Gearbox Assembly 110KW METSO
000000000010000811,EN,PLC Digital Output Card HD FLSM
000000000030000183,EN,Vertical Sump Pump Column TYPE B SIEMENS
000000000010000812,EN,Flotation Blower Motor DN150 FLSM
000000000030000184,EN,Conveyor Drive Motor TYPE A FLSM
000000000010000813,EN,Crusher Main Shaft Bearing 8/6 METSO
000000000010000814,EN,Conveyor Idler Roller Set 10/8 KSB
000000000030000185,EN,Ball Mill Gearbox Assembly DN100 METSO
000000000010000815,EN,Spherical Roller Bearing 6/4 SKF
000000000080000187,EN,Ventilation Fan Motor 150MM MULTOTEC
000000000010000816,EN,Slurry Pump Wet End Assembly 200MM KSB
000000000010000817,EN,Spherical Roller Bearing 6/4 MULTOTEC
000000000080000188,EN,PLC Digital Output Card 55KW SEW
000000000030000186,EN,Belt Scraper Blade Cartridge DN150 ABB
000000000010000818,EN,Conveyor Idler Roller Set 150MM ABB
000000000010000819,EN,Mill Lube Pump Motor HD WEIR
000000000010000820,EN,Flow Meter Sensor Head 110KW SKF
000000000010000821,EN,Crusher Hydroset Cylinder TYPE B SEW
000000000010000822,EN,Conveyor Take-Up Pulley DN100 FLSM
000000000010000823,EN,Centrifugal Pump Casing TYPE B ABB
000000000030000187,EN,Conveyor Idler Roller Set 10/8 SEW
000000000080000189,EN,Centrifugal Pump Casing DN150 KSB
000000000010000824,EN,Screen Exciter Bearing TYPE A MULTOTEC
000000000010000825,EN,Flotation Cell Impeller 150MM METSO
000000000010000826,EN,PLC Digital Output Card 150MM SANDVIK
000000000030000188,EN,Mill Liner 200MM WEIR
000000000010000827,EN,Mill Liner 110KW ABB
000000000080000190,EN,Gearbox Bearing TYPE A ABB
000000000010000828,EN,Ball Mill Gearbox Assembly 55KW MULTOTEC
000000000010000829,EN,Soft Starter Power Module HD SKF
000000000010000830,EN,Conveyor Idler Roller Set 10/8 SKF
000000000080000191,EN,Spherical Roller Bearing 6/4 METSO
000000000030000189,EN,Vertical Sump Pump Column 250KW SANDVIK
000000000010000831,EN,Ball Mill Trunnion Bearing 110KW SEW
000000000010000832,EN,Cyclone Apex Liner 110KW METSO
000000000090000047,EN,Agitator Shaft Seal DN150 KSB
000000000010000833,EN,Gearbox Bearing HD KSB
000000000010000834,EN,Slurry Density Transmitter 55KW WEIR
000000000090000048,EN,Crusher Hydroset Cylinder 150MM SEW
000000000030000190,EN,Cyclone Apex Liner DN100 KSB
000000000010000835,EN,Screen Exciter Bearing DN100 SEW
000000000010000836,EN,Conveyor Pulley Bearing 250KW MULTOTEC
000000000030000191,EN,Agitator Shaft Seal TYPE A SANDVIK
000000000030000192,EN,Conveyor Drive Motor HD MULTOTEC
000000000010000837,EN,Conveyor Pulley Bearing 8/6 KSB
000000000010000838,EN,Slurry Density Transmitter TYPE B METSO
000000000010000839,EN,Conveyor Idler Roller Set 6/4 METSO
000000000010000840,EN,Slurry Pump Wet End Assembly DN150
000000000010000841,EN,Ball Mill Trunnion Bearing 8/6 KSB
000000000010000842,EN,Flow Meter Sensor Head 250KW SANDVIK
000000000080000192,EN,Conveyor Take-Up Pulley DN150 KSB
000000000030000193,EN,Belt Scraper Blade Cartridge 8/6 FLSM
000000000030000194,EN,Conveyor Idler Roller Set DN100 WEIR
000000000010000843,EN,Centrifugal Pump Casing 8/6 SKF
000000000010000844,EN,Conveyor Idler Roller Set DN100 FLSM
000000000080000193,EN,Ventilation Fan Motor 200MM KSB
000000000010000845,EN,Pump Impeller 110KW SIEMENS
000000000030000195,EN,Ball Mill Gearbox Assembly DN150 METSO
000000000010000846,EN,Pump Impeller 8/6 MULTOTEC
000000000010000847,EN,PLC Digital Output Card 150MM MULTOTEC
000000000080000194,EN,Level Radar Transmitter 55KW METSO
000000000080000195,EN,Conveyor Pulley Bearing DN100 METSO
000000000010000848,EN,Conveyor Drive Gearbox TYPE B FLSM
000000000010000849,EN,Flow Meter Sensor Head 6/4 KSB
000000000080000196,EN,Gland Packing Seal Ring 55KW SEW
000000000010000850,EN,Variable Speed Drive Unit 55KW SANDVIK
000000000080000197,EN,Level Radar Transmitter DN100 KSB
000000000010000851,EN,Level Radar Transmitter 8/6 WEIR
000000000010000852,EN,Cyclone Apex Liner HD KSB
000000000010000853,EN,Flotation Blower Motor TYPE B ABB
000000000010000854,EN,Ball Mill Trunnion Bearing TYPE B METSO
000000000010000855,EN,Gearbox Bearing 200MM MULTOTEC
000000000010000856,EN,Flotation Blower Motor 6/4 KSB
000000000090000049,EN,Flotation Blower Motor 8/6 SEW
000000000010000857,EN,Gearbox Bearing 6/4 METSO
000000000010000858,EN,Mill Lube Pump Motor 250KW MULTOTEC
000000000010000859,EN,Centrifugal Pump Casing 6/4 FLSM
000000000010000860,EN,Soft Starter Power Module 110KW KSB
000000000010000861,EN,Gland Packing Seal Ring DN150 FLSM
000000000030000196,EN,Agitator Shaft Seal 250KW SKF
000000000010000862,EN,Ventilation Fan Motor 55KW WEIR
000000000010000863,EN,Vertical Sump Pump Column 200MM FLSM
000000000010000864,EN,Agitator Shaft Seal 200MM METSO
000000000080000198,EN,Mill Liner 55KW KSB
000000000010000865,EN,Crusher Hydroset Cylinder TYPE B SANDVIK
000000000080000199,EN,Centrifugal Pump Casing 250MM SEW
000000000010000866,EN,Conveyor Drive Motor DN150 MULTOTEC
000000000010000867,EN,Screen Exciter Bearing TYPE A SIEMENS
000000000090000050,EN,Crusher Main Shaft Bearing TYPE A ABB
000000000010000868,EN,Spherical Roller Bearing DN100 FLSM
000000000030000197,EN,Flotation Blower Motor 8/6 KSB
000000000010000869,EN,Hydraulic Power Pack TYPE B WEIR
000000000080000200,EN,Apron Feeder Gear Reducer 250MM SEW
000000000010000870,EN,Flotation Cell Impeller 200MM ABB
000000000010000871,EN,Ball Mill Shell Liner Plate HD KSB
000000000030000198,EN,Ventilation Fan Motor TYPE A SANDVIK
000000000010000872,EN,Flotation Blower Motor 150MM FLSM
000000000010000873,EN,Pressure Transmitter Assembly 250KW WEIR
000000000010000874,EN,Flotation Blower Motor TYPE A FLSM
000000000030000199,EN,Crusher Hydroset Cylinder DN150 SEW
000000000010000875,EN,Slurry Density Transmitter 55KW KSB
000000000030000200,EN,MCC Feeder Circuit Breaker DN100 KSB
000000000080000201,EN,Hydraulic Pump Assembly 150MM SANDVIK
000000000090000051,EN,Hydraulic Power Pack DN150 ABB
000000000010000876,EN,Belt Scraper Blade Cartridge 250KW WEIR
000000000010000877,EN,Level Radar Transmitter TYPE A SEW
000000000010000878,EN,Apron Feeder Gear Reducer DN150 FLSM
000000000090000052,EN,Cyclone Apex Liner DN150 SEW
000000000010000879,EN,Gearbox Bearing TYPE A SIEMENS
000000000010000880,EN,Spherical Roller Bearing TYPE B MULTOTEC
000000000030000201,EN,MCC Feeder Circuit Breaker 250KW KSB
000000000010000881,EN,Slurry Pump Mechanical Seal 150MM SKF
000000000010000882,EN,Mill Lube Pump Motor DN150 FLSM
000000000080000202,EN,Pressure Transmitter Assembly TYPE A
000000000010000883,EN,Agitator Shaft Seal 10/8 MULTOTEC
000000000080000203,EN,MCC Feeder Circuit Breaker 200MM WEIR
000000000010000884,EN,Agitator Shaft Seal 250MM MULTOTEC
